n,K,AverageTime
100,1,5.445e-05
100,2,3.895e-05
100,3,2.76e-05
100,4,2.575e-05
100,5,2.565e-05
100,6,2.235e-05
100,7,1.935e-05
100,8,2.355e-05
100,9,2.055e-05
100,10,3.145e-05
100,11,2.67e-05
100,12,1.705e-05
100,13,1.49e-05
100,14,1.51e-05
100,15,1.445e-05
100,16,1.47e-05
100,17,1.41e-05
100,18,1.43e-05
100,19,1.415e-05
100,20,1.435e-05
100,21,1.53e-05
100,22,2.17e-05
100,23,2.235e-05
100,24,2.115e-05
100,25,1.76e-05
100,26,1.54e-05
100,27,5.04e-05
100,28,3.92e-05
100,29,1.76e-05
100,30,1.27e-05
100,31,1.33e-05
100,32,1.24e-05
100,33,1.26e-05
100,34,1.3e-05
100,35,3.15e-05
100,36,1.95e-05
100,37,2.03e-05
100,38,1.83e-05
100,39,1.865e-05
100,40,1.915e-05
100,41,1.735e-05
100,42,1.775e-05
100,43,1.88e-05
100,44,1.78e-05
100,45,1.815e-05
100,46,1.88e-05
100,47,1.765e-05
100,48,1.78e-05
100,49,1.955e-05
100,50,2.615e-05
100,51,2.215e-05
100,52,1.8e-05
100,53,1.38e-05
100,54,1.385e-05
100,55,1.39e-05
100,56,1.4e-05
100,57,1.37e-05
100,58,1.355e-05
100,59,1.375e-05
100,60,1.35e-05
100,61,1.56e-05
100,62,1.405e-05
100,63,1.41e-05
100,64,1.37e-05
100,65,1.865e-05
100,66,1.995e-05
100,67,2.015e-05
100,68,2.055e-05
100,69,2.03e-05
100,70,1.385e-05
100,71,1.35e-05
100,72,1.37e-05
100,73,1.38e-05
100,74,1.405e-05
100,75,1.38e-05
100,76,1.355e-05
100,77,1.37e-05
100,78,1.35e-05
100,79,1.385e-05
100,80,1.38e-05
100,81,1.36e-05
100,82,1.4e-05
100,83,1.415e-05
100,84,1.36e-05
100,85,1.39e-05
100,86,1.37e-05
100,87,1.5e-05
100,88,1.915e-05
100,89,1.39e-05
100,90,1.37e-05
100,91,1.4e-05
100,92,1.39e-05
100,93,1.41e-05
100,94,1.37e-05
100,95,1.405e-05
100,96,1.38e-05
100,97,1.345e-05
100,98,1.36e-05
100,99,1.355e-05
100,100,1.94e-05
200,1,0.00010815
200,2,8.17e-05
200,3,5.865e-05
200,4,5.51e-05
200,5,5.545e-05
200,6,4.505e-05
200,7,4.335e-05
200,8,4.225e-05
200,9,4.14e-05
200,10,7.32e-05
200,11,5.995e-05
200,12,5.39e-05
200,13,4.855e-05
200,14,4.955e-05
200,15,4.83e-05
200,16,4.665e-05
200,17,4.68e-05
200,18,4.585e-05
200,19,4.825e-05
200,20,4.035e-05
200,21,3.36e-05
200,22,3.495e-05
200,23,3.58e-05
200,24,4.67e-05
200,25,3.275e-05
200,26,3.18e-05
200,27,3.535e-05
200,28,4.49e-05
200,29,4.455e-05
200,30,4.64e-05
200,31,4.855e-05
200,32,3.4e-05
200,33,3.575e-05
200,34,4.635e-05
200,35,3.13e-05
200,36,3.2e-05
200,37,3.155e-05
200,38,3.13e-05
200,39,3.07e-05
200,40,3.045e-05
200,41,3.22e-05
200,42,3.4e-05
200,43,4.2e-05
200,44,4.335e-05
200,45,3.525e-05
200,46,3.07e-05
200,47,3.05e-05
200,48,3.115e-05
200,49,3.105e-05
200,50,5.66e-05
200,51,4.135e-05
200,52,3.375e-05
200,53,4.88e-05
200,54,3.325e-05
200,55,3.255e-05
200,56,3.215e-05
200,57,3.36e-05
200,58,5.465e-05
200,59,5.055e-05
200,60,3.805e-05
200,61,3.66e-05
200,62,6.045e-05
200,63,3.325e-05
200,64,4.065e-05
200,65,4.885e-05
200,66,4.65e-05
200,67,4.54e-05
200,68,3.32e-05
200,69,5.31e-05
200,70,3.575e-05
200,71,4.76e-05
200,72,5.11e-05
200,73,4.885e-05
200,74,3.67e-05
200,75,3.375e-05
200,76,3.735e-05
200,77,3.255e-05
200,78,3.455e-05
200,79,3.825e-05
200,80,4.945e-05
200,81,4.2e-05
200,82,3.38e-05
200,83,3.28e-05
200,84,3.235e-05
200,85,3.305e-05
200,86,3.73e-05
200,87,4.665e-05
200,88,3.915e-05
200,89,3.295e-05
200,90,3.26e-05
200,91,3.415e-05
200,92,3.835e-05
200,93,4.26e-05
200,94,5.025e-05
200,95,4.28e-05
200,96,4.54e-05
200,97,3.475e-05
200,98,4.645e-05
200,99,4.895e-05
200,100,5.855e-05
300,1,0.0001925
300,2,0.0001678
300,3,0.0001094
300,4,9.97e-05
300,5,9.285e-05
300,6,0.0001022
300,7,7.865e-05
300,8,8.72e-05
300,9,0.0001115
300,10,9.16e-05
300,11,8.585e-05
