n,K,AverageTime
100,1,4.75e-05
100,2,3.99e-05
100,3,2.305e-05
100,4,2.055e-05
100,5,2.015e-05
100,6,1.48e-05
100,7,1.965e-05
100,8,2.09e-05
100,9,2.09e-05
100,10,2.02e-05
100,11,1.99e-05
100,12,1.76e-05
100,13,1.275e-05
100,14,1.175e-05
100,15,1.205e-05
100,16,1.19e-05
100,17,1.205e-05
100,18,1.22e-05
100,19,1.21e-05
100,20,1.235e-05
100,21,1.22e-05
100,22,1.22e-05
100,23,1.215e-05
100,24,1.93e-05
100,25,8.2e-06
100,26,8.15e-06
100,27,8.35e-06
100,28,5.05e-06
100,29,4.8e-06
100,30,4.8e-06
100,31,4.8e-06
100,32,4.9e-06
100,33,4.8e-06
100,34,4.6e-06
100,35,4.6e-06
100,36,4.7e-06
100,37,4.75e-06
100,38,4.7e-06
100,39,4.7e-06
100,40,4.8e-06
100,41,4.75e-06
100,42,4.9e-06
100,43,4.9e-06
100,44,4.9e-06
100,45,4.8e-06
100,46,4.8e-06
100,47,4.8e-06
100,48,4.85e-06
100,49,4.8e-06
100,50,2.85e-06
100,51,2.85e-06
100,52,3.55e-06
100,53,2.7e-06
100,54,2.45e-06
100,55,2.4e-06
100,56,2.55e-06
100,57,2.7e-06
100,58,2.5e-06
100,59,2.5e-06
100,60,2.65e-06
100,61,2.65e-06
100,62,2.45e-06
100,63,2.55e-06
100,64,2.4e-06
100,65,2.5e-06
100,66,2.55e-06
100,67,2.7e-06
100,68,2.7e-06
100,69,2.6e-06
100,70,2.3e-06
100,71,2.5e-06
100,72,2.5e-06
100,73,2.7e-06
100,74,2.6e-06
100,75,2.55e-06
100,76,2.45e-06
100,77,2.55e-06
100,78,2.5e-06
100,79,2.5e-06
100,80,2.55e-06
100,81,2.8e-06
100,82,2.65e-06
100,83,2.65e-06
100,84,2.5e-06
100,85,2.4e-06
100,86,2.4e-06
100,87,2.8e-06
100,88,2.75e-06
100,89,2.75e-06
100,90,2.55e-06
100,91,2.55e-06
100,92,2.5e-06
100,93,2.35e-06
100,94,2.6e-06
100,95,2.55e-06
100,96,2.55e-06
100,97,2.6e-06
100,98,2.5e-06
100,99,2.55e-06
100,100,8e-07
200,1,9.495e-05
200,2,6.775e-05
200,3,4.4e-05
200,4,4.02e-05
200,5,4.07e-05
200,6,2.98e-05
200,7,2.68e-05
200,8,3.035e-05
200,9,2.635e-05
200,10,2.68e-05
200,11,2.665e-05
200,12,2.2e-05
200,13,1.755e-05
200,14,1.775e-05
200,15,1.765e-05
200,16,1.74e-05
200,17,1.755e-05
200,18,1.74e-05
200,19,1.755e-05
200,20,1.76e-05
200,21,1.745e-05
200,22,1.785e-05
200,23,1.76e-05
200,24,1.735e-05
200,25,1.185e-05
200,26,1.2e-05
200,27,1.225e-05
200,28,1.185e-05
200,29,1.18e-05
200,30,1.2e-05
200,31,1.195e-05
200,32,1.165e-05
200,33,1.185e-05
200,34,1.175e-05
200,35,1.165e-05
200,36,1.175e-05
200,37,1.19e-05
200,38,1.185e-05
200,39,1.18e-05
200,40,1.17e-05
200,41,1.18e-05
200,42,1.17e-05
200,43,1.19e-05
200,44,1.18e-05
200,45,1.2e-05
200,46,1.195e-05
200,47,1.185e-05
200,48,1.18e-05
200,49,1.19e-05
200,50,8.1e-06
200,51,7.95e-06
200,52,8.15e-06
200,53,8e-06
200,54,8.15e-06
200,55,8e-06
200,56,1.065e-05
200,57,8.3e-06
200,58,7.95e-06
200,59,8.2e-06
200,60,8.7e-06
200,61,8.05e-06
200,62,8.05e-06
200,63,8.45e-06
200,64,8.35e-06
200,65,8.6e-06
200,66,8e-06
200,67,8.05e-06
200,68,8.1e-06
200,69,7.95e-06
200,70,8e-06
200,71,8.1e-06
200,72,8e-06
200,73,8.05e-06
200,74,8e-06
200,75,8.05e-06
200,76,8.3e-06
200,77,8.05e-06
200,78,8e-06
200,79,8.05e-06
200,80,8.15e-06
200,81,8.2e-06
200,82,8.1e-06
200,83,7.95e-06
200,84,8.1e-06
200,85,8e-06
200,86,8.05e-06
200,87,7.95e-06
200,88,8.15e-06
200,89,8.1e-06
200,90,7.9e-06
200,91,1.04e-05
200,92,9.85e-06
200,93,9.3e-06
200,94,7.95e-06
200,95,8.8e-06
200,96,8.1e-06
200,97,8e-06
200,98,7.9e-06
200,99,8.2e-06
200,100,4.7e-06
300,1,0.00015
300,2,9.885e-05
300,3,8.115e-05
300,4,7.26e-05
300,5,5.295e-05
300,6,5.295e-05
300,7,5.315e-05
300,8,5.805e-05
300,9,4.255e-05
300,10,3.475e-05
300,11,3.475e-05
300,12,3.465e-05
300,13,3.495e-05
300,14,3.4e-05
300,15,3.39e-05
300,16,3.43e-05
300,17,3.345e-05
300,18,3.135e-05
300,19,2.665e-05
300,20,2.45e-05
300,21,2.44e-05
300,22,2.46e-05
300,23,2.45e-05
300,24,2.435e-05
300,25,2.485e-05
300,26,2.43e-05
300,27,2.4e-05
300,28,2.37e-05
300,29,2.405e-05
300,30,2.37e-05
300,31,2.395e-05
300,32,2.41e-05
300,33,2.38e-05
300,34,2.685e-05
300,35,2.43e-05
300,36,2.415e-05
300,37,2.205e-05
300,38,1.915e-05
300,39,1.82e-05
300,40,1.7e-05
300,41,1.81e-05
300,42,1.71e-05
300,43,1.705e-05
300,44,1.695e-05
300,45,1.695e-05
300,46,1.675e-05
300,47,1.695e-05
300,48,1.69e-05
300,49,1.695e-05
300,50,1.7e-05
300,51,1.7e-05
300,52,1.915e-05
300,53,1.695e-05
300,54,1.69e-05
300,55,1.685e-05
300,56,1.715e-05
300,57,1.72e-05
300,58,1.675e-05
300,59,1.675e-05
300,60,1.69e-05
300,61,1.68e-05
300,62,1.67e-05
300,63,1.74e-05
300,64,1.685e-05
300,65,1.67e-05
300,66,1.665e-05
300,67,1.785e-05
300,68,2.735e-05
300,69,2.92e-05
300,70,1.68e-05
300,71,1.675e-05
300,72,1.67e-05
300,73,1.725e-05
300,74,1.68e-05
300,75,1.18e-05
300,76,1.25e-05
300,77,1.235e-05
300,78,1.245e-05
300,79,1.25e-05
300,80,1.135e-05
300,81,1.18e-05
300,82,1.25e-05
300,83,1.25e-05
300,84,1.23e-05
300,85,1.4e-05
300,86,1.215e-05
300,87,1.235e-05
300,88,1.21e-05
300,89,1.225e-05
300,90,1.13e-05
300,91,1.38e-05
300,92,1.23e-05
300,93,1.39e-05
300,94,1.235e-05
300,95,1.155e-05
300,96,1.165e-05
300,97,1.15e-05
300,98,1.185e-05
300,99,1.2e-05
300,100,1.165e-05
1000,1,0.00053915
1000,2,0.0003495
1000,3,0.0003837
1000,4,0.00023535
1000,5,0.0002345
1000,6,0.00024145
1000,7,0.00027025
1000,8,0.0001664
1000,9,0.00015005
1000,10,0.0001561
1000,11,0.00019
1000,12,0.00022335
1000,13,0.0002045
1000,14,0.00015205
1000,15,0.00017545
1000,16,0.0001111
1000,17,0.00012005
1000,18,0.00011155
1000,19,0.0001123
1000,20,0.0001297
1000,21,0.00011325
1000,22,0.0001241
1000,23,0.00015475
1000,24,0.00013895
1000,25,0.00014005
1000,26,0.00012415
1000,27,0.00011225
1000,28,0.00011435
1000,29,0.00011875
1000,30,0.00011205
1000,31,0.00011625
1000,32,9.62e-05
1000,33,9.835e-05
1000,34,0.00010555
1000,35,0.0001436
1000,36,0.0001423
1000,37,0.000141
1000,38,0.00014075
1000,39,0.0001452
1000,40,0.0001291
1000,41,9.3e-05
1000,42,0.000111
1000,43,0.00012555
1000,44,9.36e-05
1000,45,8.565e-05
1000,46,0.00011035
1000,47,0.0001351
1000,48,0.00012465
1000,49,9.445e-05
1000,50,8.73e-05
1000,51,8.645e-05
1000,52,8.935e-05
1000,53,0.0001233
1000,54,8.755e-05
1000,55,0.0001061
1000,56,0.0001092
1000,57,8.77e-05
1000,58,9.05e-05
1000,59,9.725e-05
1000,60,8.9e-05
1000,61,9.455e-05
1000,62,7.69e-05
1000,63,8.105e-05
1000,64,8.565e-05
1000,65,6.61e-05
1000,66,6.745e-05
1000,67,6.8e-05
1000,68,8.33e-05
1000,69,6.875e-05
1000,70,6.73e-05
1000,71,6.79e-05
1000,72,0.0001005
1000,73,6.67e-05
1000,74,8.095e-05
1000,75,8.275e-05
1000,76,6.85e-05
1000,77,6.73e-05
1000,78,6.67e-05
1000,79,8.39e-05
1000,80,8.24e-05
1000,81,7.635e-05
1000,82,6.83e-05
1000,83,6.83e-05
1000,84,6.905e-05
1000,85,6.775e-05
1000,86,6.9e-05
1000,87,7.025e-05
1000,88,6.66e-05
1000,89,8.645e-05
1000,90,7.255e-05
1000,91,6.835e-05
1000,92,6.745e-05
1000,93,8.72e-05
1000,94,7.72e-05
1000,95,6.765e-05
1000,96,6.775e-05
1000,97,7.995e-05
1000,98,6.705e-05
1000,99,6.72e-05
1000,100,7.03e-05
5000,1,0.00281705
5000,2,0.00217755
5000,3,0.00163325
5000,4,0.00157315
5000,5,0.00115145
5000,6,0.00122785
5000,7,0.00115765
5000,8,0.0011501
5000,9,0.00105325
5000,10,0.0008677
5000,11,0.00087065
5000,12,0.00087035
5000,13,0.00089875
5000,14,0.00088245
5000,15,0.0008514
5000,16,0.00107835
5000,17,0.00118645
5000,18,0.00120825
5000,19,0.00097405
5000,20,0.00088765
5000,21,0.0008948
5000,22,0.0008816
5000,23,0.0008072
5000,24,0.0007605
5000,25,0.00081605
5000,26,0.0008253
5000,27,0.0008033
5000,28,0.0007053
5000,29,0.0007285
5000,30,0.0007954
5000,31,0.00074505
5000,32,0.00069435
5000,33,0.00074535
5000,34,0.000736
5000,35,0.00072455
5000,36,0.00074755
5000,37,0.0006894
5000,38,0.00072475
5000,39,0.0005991
5000,40,0.00058235
5000,41,0.00062185
5000,42,0.00058645
5000,43,0.00059485
5000,44,0.0006133
5000,45,0.0005973
5000,46,0.0006111
5000,47,0.00059705
5000,48,0.00062075
5000,49,0.00058505
5000,50,0.00058045
5000,51,0.00061995
5000,52,0.000568
5000,53,0.00056495
5000,54,0.00062075
5000,55,0.0006111
